Image,Correct_Class,Confidence
10_albania_224x224.jpg,albania,0.12770565
11_albania_224x224.jpg,albania,0.020418923
1_albania_224x224.jpg,albania,0.65425634
2_albania_224x224.jpg,albania,0.31012443
3_albania_224x224.jpg,albania,0.95021284
4_albania_224x224.jpg,albania,0.40422904
5_albania_224x224.jpg,albania,0.38051793
6_albania_224x224.jpg,albania,0.995635
7_albania_224x224.jpg,albania,0.07135687
8_albania_224x224.jpg,albania,0.48319528
9_albania_224x224.jpg,albania,0.030578988
10_andorra_224x224.jpg,andorra,0.91881263
11_andorra_224x224.jpg,andorra,0.99016833
12_andorra_224x224.jpg,andorra,0.99757177
1_andorra_224x224.jpg,andorra,0.9983943
2_andorra_224x224.jpg,andorra,0.97346795
3_andorra_224x224.jpg,andorra,0.022674136
4_andorra_224x224.jpg,andorra,0.99999845
5_andorra_224x224.jpg,andorra,0.9307135
6_andorra_224x224.jpg,andorra,0.9999745
7_andorra_224x224.jpg,andorra,0.003883539
8_andorra_224x224.jpg,andorra,1.0
9_andorra_224x224.jpg,andorra,0.32545006
10_austria_224x224.jpg,austria,0.62153554
11_austria_224x224.jpg,austria,0.3600741
12_austria_224x224.jpg,austria,0.14596334
1_austria_224x224.jpg,austria,0.046620224
2_austria_224x224.jpg,austria,0.8398986
3_austria_224x224.jpg,austria,0.3707812
4_austria_224x224.jpg,austria,0.13062488
5_austria_224x224.jpg,austria,0.1412069
6_austria_224x224.jpg,austria,0.033312894
7_austria_224x224.jpg,austria,0.84799933
8_austria_224x224.jpg,austria,0.14000963
9_austria_224x224.jpg,austria,0.024584861
10_belgium_224x224.jpg,belgium,0.34902945
11_belgium_224x224.jpg,belgium,0.0896823
12_belgium_224x224.jpg,belgium,0.026795182
1_belgium_224x224.jpg,belgium,0.19272235
2_belgium_224x224.jpg,belgium,0.1261512
3_belgium_224x224.jpg,belgium,0.0063451873
4_belgium_224x224.jpg,belgium,0.004712504
5_belgium_224x224.jpg,belgium,0.023387762
6_belgium_224x224.jpg,belgium,0.04621755
7_belgium_224x224.jpg,belgium,0.0298193
8_belgium_224x224.jpg,belgium,0.06082425
9_belgium_224x224.jpg,belgium,0.0634695
10_bulgaria_224x224.jpg,bulgaria,0.39910677
11_bulgaria_224x224.jpg,bulgaria,0.1528007
12_bulgaria_224x224.jpg,bulgaria,0.0036644929
1_bulgaria_224x224.jpg,bulgaria,0.56343323
2_bulgaria_224x224.jpg,bulgaria,0.02695388
3_bulgaria_224x224.jpg,bulgaria,0.15819764
4_bulgaria_224x224.jpg,bulgaria,0.77672255
5_bulgaria_224x224.jpg,bulgaria,0.19703682
6_bulgaria_224x224.jpg,bulgaria,0.84958047
7_bulgaria_224x224.jpg,bulgaria,0.38884374
8_bulgaria_224x224.jpg,bulgaria,0.00059773336
9_bulgaria_224x224.jpg,bulgaria,0.25417387
10_croatia_224x224.jpg,croatia,0.025291087
11_croatia_224x224.jpg,croatia,0.10768105
1_croatia_224x224.jpg,croatia,0.048409496
2_croatia_224x224.jpg,croatia,0.18351197
3_croatia_224x224.jpg,croatia,0.014175464
4_croatia_224x224.jpg,croatia,0.22257668
5_croatia_224x224.jpg,croatia,0.016040768
6_croatia_224x224.jpg,croatia,0.00034598436
7_croatia_224x224.jpg,croatia,0.17727849
8_croatia_224x224.jpg,croatia,0.09028817
9_croatia_224x224.jpg,croatia,0.0544082
10_czechrepublic_224x224.jpg,czechrepublic,0.015589211
11_czechrepublic_224x224.jpg,czechrepublic,0.0002894994
12_czechrepublic_224x224.jpg,czechrepublic,0.109453425
1_czechrepublic_224x224.jpg,czechrepublic,0.18588674
2_czechrepublic_224x224.jpg,czechrepublic,0.004313876
