Image,Correct_Class,Confidence,Top_Guess
10_albania_224x224.jpg,albania,0.042350203,False
11_albania_224x224.jpg,albania,0.006547259,False
1_albania_224x224.jpg,albania,0.7311655,True
2_albania_224x224.jpg,albania,0.27579138,True
3_albania_224x224.jpg,albania,0.96808314,True
4_albania_224x224.jpg,albania,0.60737455,True
5_albania_224x224.jpg,albania,0.26262343,False
6_albania_224x224.jpg,albania,0.7411146,True
7_albania_224x224.jpg,albania,0.008416231,False
8_albania_224x224.jpg,albania,0.16411324,False
9_albania_224x224.jpg,albania,0.029378993,False
10_andorra_224x224.jpg,andorra,0.9957925,True
11_andorra_224x224.jpg,andorra,0.99862945,True
12_andorra_224x224.jpg,andorra,0.99188703,True
1_andorra_224x224.jpg,andorra,0.9937004,True
2_andorra_224x224.jpg,andorra,0.99999964,True
3_andorra_224x224.jpg,andorra,0.3895167,True
4_andorra_224x224.jpg,andorra,0.9999994,True
5_andorra_224x224.jpg,andorra,0.9757178,True
6_andorra_224x224.jpg,andorra,0.9999026,True
7_andorra_224x224.jpg,andorra,8.252509e-05,False
8_andorra_224x224.jpg,andorra,0.9999999,True
9_andorra_224x224.jpg,andorra,0.9164281,True
10_austria_224x224.jpg,austria,0.2581249,False
11_austria_224x224.jpg,austria,0.23856165,True
12_austria_224x224.jpg,austria,0.06434128,False
1_austria_224x224.jpg,austria,0.029806513,False
2_austria_224x224.jpg,austria,0.34775534,True
3_austria_224x224.jpg,austria,0.034325954,False
4_austria_224x224.jpg,austria,0.25612646,False
5_austria_224x224.jpg,austria,0.004215495,False
6_austria_224x224.jpg,austria,0.0645284,False
7_austria_224x224.jpg,austria,0.19405152,False
8_austria_224x224.jpg,austria,0.028373519,False
9_austria_224x224.jpg,austria,0.023518454,False
10_belgium_224x224.jpg,belgium,0.44082084,True
11_belgium_224x224.jpg,belgium,0.07878144,False
12_belgium_224x224.jpg,belgium,0.011196415,False
1_belgium_224x224.jpg,belgium,0.18794511,False
2_belgium_224x224.jpg,belgium,0.07242575,False
3_belgium_224x224.jpg,belgium,0.0024641277,False
4_belgium_224x224.jpg,belgium,0.01351644,False
5_belgium_224x224.jpg,belgium,0.05197373,False
6_belgium_224x224.jpg,belgium,0.14230111,False
7_belgium_224x224.jpg,belgium,0.041694686,False
8_belgium_224x224.jpg,belgium,0.14398561,False
9_belgium_224x224.jpg,belgium,0.16017966,False
10_bulgaria_224x224.jpg,bulgaria,0.23772667,True
11_bulgaria_224x224.jpg,bulgaria,0.37397513,True
12_bulgaria_224x224.jpg,bulgaria,0.007273438,False
1_bulgaria_224x224.jpg,bulgaria,0.28155202,False
2_bulgaria_224x224.jpg,bulgaria,0.06307201,False
3_bulgaria_224x224.jpg,bulgaria,0.41083893,True
4_bulgaria_224x224.jpg,bulgaria,0.491162,True
5_bulgaria_224x224.jpg,bulgaria,0.7631197,True
6_bulgaria_224x224.jpg,bulgaria,0.911946,True
7_bulgaria_224x224.jpg,bulgaria,0.2655422,False
8_bulgaria_224x224.jpg,bulgaria,1.1071882e-05,False
9_bulgaria_224x224.jpg,bulgaria,0.26866207,True
10_croatia_224x224.jpg,croatia,0.0043355767,False
11_croatia_224x224.jpg,croatia,0.07424018,False
1_croatia_224x224.jpg,croatia,0.034232784,False
2_croatia_224x224.jpg,croatia,0.26613864,False
3_croatia_224x224.jpg,croatia,0.11816664,False
4_croatia_224x224.jpg,croatia,0.34983814,True
5_croatia_224x224.jpg,croatia,0.050550178,False
6_croatia_224x224.jpg,croatia,0.016648265,False
7_croatia_224x224.jpg,croatia,0.23695217,True
8_croatia_224x224.jpg,croatia,0.11249189,False
9_croatia_224x224.jpg,croatia,0.1635648,False
10_czechrepublic_224x224.jpg,czechrepublic,0.04245413,False
11_czechrepublic_224x224.jpg,czechrepublic,0.0032756762,False
12_czechrepublic_224x224.jpg,czechrepublic,0.13915925,True
1_czechrepublic_224x224.jpg,czechrepublic,0.21469861,True
2_czechrepublic_224x224.jpg,czechrepublic,0.011839791,False
3_czechrepublic_224x224.jpg,czechrepublic,0.048812773,False
4_czechrepublic_224x224.jpg,czechrepublic,0.11533046,False
5_czechrepublic_224x224.jpg,czechrepublic,0.13040616,False
6_czechrepublic_224x224.jpg,czechrepublic,0.022044513,False
7_czechrepublic_224x224.jpg,czechrepublic,0.07512288,False
8_czechrepublic_224x224.jpg,czechrepublic,0.18394129,False
9_czechrepublic_224x224.jpg,czechrepublic,0.20182155,True
10_denmark_224x224.jpg,denmark,0.1808982,False
11_denmark_224x224.jpg,denmark,0.01564663,False
12_denmark_224x224.jpg,denmark,0.038838267,False
1_denmark_224x224.jpg,denmark,0.036297187,False
2_denmark_224x224.jpg,denmark,0.2208706,False
3_denmark_224x224.jpg,denmark,0.36667863,True
4_denmark_224x224.jpg,denmark,0.11992214,False
5_denmark_224x224.jpg,denmark,0.058626298,False
6_denmark_224x224.jpg,denmark,0.10668782,False
7_denmark_224x224.jpg,denmark,0.1587013,True
8_denmark_224x224.jpg,denmark,0.54735845,True
9_denmark_224x224.jpg,denmark,0.3473825,True
10_estonia_224x224.jpg,estonia,0.5156113,True
11_estonia_224x224.jpg,estonia,0.92417115,True
12_estonia_224x224.jpg,estonia,0.34333602,False
1_estonia_224x224.jpg,estonia,0.21433765,False
2_estonia_224x224.jpg,estonia,0.41919118,True
3_estonia_224x224.jpg,estonia,0.18678868,False
4_estonia_224x224.jpg,estonia,0.052520435,False
5_estonia_224x224.jpg,estonia,0.01960574,False
6_estonia_224x224.jpg,estonia,0.23799887,False
7_estonia_224x224.jpg,estonia,0.21170305,False
8_estonia_224x224.jpg,estonia,0.39472392,True
9_estonia_224x224.jpg,estonia,0.06563236,False
10_finland_224x224.jpg,finland,0.31903496,False
11_finland_224x224.jpg,finland,0.15929079,False
12_finland_224x224.jpg,finland,0.26983717,True
1_finland_224x224.jpg,finland,0.8150316,True
2_finland_224x224.jpg,finland,0.30230987,False
3_finland_224x224.jpg,finland,0.07198958,False
4_finland_224x224.jpg,finland,0.1784743,False
5_finland_224x224.jpg,finland,0.06099773,False
6_finland_224x224.jpg,finland,0.2932543,False
7_finland_224x224.jpg,finland,0.26597795,False
8_finland_224x224.jpg,finland,0.0451192,False
9_finland_224x224.jpg,finland,0.14569084,False
10_france_224x224.jpg,france,0.12332262,False
11_france_224x224.jpg,france,0.1125778,True
12_france_224x224.jpg,france,0.12836282,False
1_france_224x224.jpg,france,0.044315215,False
2_france_224x224.jpg,france,0.09045769,False
3_france_224x224.jpg,france,0.08122217,False
4_france_224x224.jpg,france,0.055226877,False
5_france_224x224.jpg,france,0.08177716,False
6_france_224x224.jpg,france,0.041140616,False
7_france_224x224.jpg,france,0.092814654,False
8_france_224x224.jpg,france,0.05847291,False
9_france_224x224.jpg,france,0.08991495,False
10_germany_224x224.jpg,germany,0.0018684317,False
11_germany_224x224.jpg,germany,0.014310478,False
12_germany_224x224.jpg,germany,0.90073925,True
1_germany_224x224.jpg,germany,0.809757,True
2_germany_224x224.jpg,germany,0.9009301,True
3_germany_224x224.jpg,germany,0.087456025,False
4_germany_224x224.jpg,germany,0.016059132,False
5_germany_224x224.jpg,germany,0.84055084,True
6_germany_224x224.jpg,germany,0.01133536,False
7_germany_224x224.jpg,germany,0.020733709,False
8_germany_224x224.jpg,germany,0.085776694,False
9_germany_224x224.jpg,germany,0.16560575,False
10_greece_224x224.jpg,greece,0.07488868,False
11_greece_224x224.jpg,greece,0.13215959,False
12_greece_224x224.jpg,greece,0.37842903,True
1_greece_224x224.jpg,greece,0.04372227,False
2_greece_224x224.jpg,greece,0.03315789,False
3_greece_224x224.jpg,greece,0.21311976,False
4_greece_224x224.jpg,greece,0.05641503,False
5_greece_224x224.jpg,greece,0.5039841,True
6_greece_224x224.jpg,greece,0.5711104,True
7_greece_224x224.jpg,greece,0.028286414,False
8_greece_224x224.jpg,greece,0.03388591,False
9_greece_224x224.jpg,greece,0.06147703,False
10_hungary_224x224.jpg,hungary,0.012516971,False
11_hungary_224x224.jpg,hungary,0.13230667,False
12_hungary_224x224.jpg,hungary,0.17850977,False
1_hungary_224x224.jpg,hungary,0.14515802,False
2_hungary_224x224.jpg,hungary,0.031752706,False
3_hungary_224x224.jpg,hungary,0.07621484,False
4_hungary_224x224.jpg,hungary,0.082215846,False
5_hungary_224x224.jpg,hungary,0.13406472,False
6_hungary_224x224.jpg,hungary,0.96121526,True
7_hungary_224x224.jpg,hungary,0.0010451173,False
8_hungary_224x224.jpg,hungary,0.10046898,False
9_hungary_224x224.jpg,hungary,0.053335346,False
10_iceland_224x224.jpg,iceland,0.99983406,True
11_iceland_224x224.jpg,iceland,1.0,True
12_iceland_224x224.jpg,iceland,0.9985246,True
1_iceland_224x224.jpg,iceland,1.0,True
2_iceland_224x224.jpg,iceland,0.99999964,True
3_iceland_224x224.jpg,iceland,0.9999999,True
4_iceland_224x224.jpg,iceland,0.76184565,True
5_iceland_224x224.jpg,iceland,1.0,True
6_iceland_224x224.jpg,iceland,0.99999976,True
7_iceland_224x224.jpg,iceland,0.18196023,True
8_iceland_224x224.jpg,iceland,1.0,True
9_iceland_224x224.jpg,iceland,0.9774035,True
10_italy_224x224.jpg,italy,0.026721245,False
11_italy_224x224.jpg,italy,0.014522021,False
12_italy_224x224.jpg,italy,0.27592242,True
1_italy_224x224.jpg,italy,0.049870346,False
