Image,Correct_Class,Confidence,Top_Guess
10_albania_224x224.jpg,albania,0.20565951,True
11_albania_224x224.jpg,albania,0.20630652,False
1_albania_224x224.jpg,albania,0.99734575,True
2_albania_224x224.jpg,albania,0.9367147,True
3_albania_224x224.jpg,albania,0.99994564,True
4_albania_224x224.jpg,albania,0.8597114,True
5_albania_224x224.jpg,albania,0.77169126,True
6_albania_224x224.jpg,albania,0.99975127,True
7_albania_224x224.jpg,albania,0.0009777736,False
8_albania_224x224.jpg,albania,0.117894836,False
9_albania_224x224.jpg,albania,0.026202988,False
10_andorra_224x224.jpg,andorra,0.99949765,True
11_andorra_224x224.jpg,andorra,0.99998593,True
12_andorra_224x224.jpg,andorra,0.9990277,True
1_andorra_224x224.jpg,andorra,0.9999918,True
2_andorra_224x224.jpg,andorra,0.99849284,True
3_andorra_224x224.jpg,andorra,0.9848712,True
4_andorra_224x224.jpg,andorra,0.9999988,True
5_andorra_224x224.jpg,andorra,0.9995534,True
6_andorra_224x224.jpg,andorra,0.99999154,True
7_andorra_224x224.jpg,andorra,0.99968076,True
8_andorra_224x224.jpg,andorra,0.9999976,True
9_andorra_224x224.jpg,andorra,0.99988425,True
10_austria_224x224.jpg,austria,0.4007688,False
11_austria_224x224.jpg,austria,0.94378793,True
12_austria_224x224.jpg,austria,0.54058295,True
1_austria_224x224.jpg,austria,0.16329716,False
2_austria_224x224.jpg,austria,0.8868445,True
3_austria_224x224.jpg,austria,0.8901634,True
4_austria_224x224.jpg,austria,0.4017982,False
5_austria_224x224.jpg,austria,0.09996545,False
6_austria_224x224.jpg,austria,0.46396706,True
7_austria_224x224.jpg,austria,0.9561588,True
8_austria_224x224.jpg,austria,0.8135999,True
9_austria_224x224.jpg,austria,0.0015052555,False
10_belgium_224x224.jpg,belgium,0.91193604,True
11_belgium_224x224.jpg,belgium,0.06884839,False
12_belgium_224x224.jpg,belgium,0.030550878,False
1_belgium_224x224.jpg,belgium,0.52243465,True
2_belgium_224x224.jpg,belgium,0.18883766,False
